"nuts","year","type.of.building","value","level","measure"
"SE110","2013","house",32294761,"nuts3","totalm2"
"SE110","2014","house",32453129,"nuts3","totalm2"
"SE110","2015","house",32733649,"nuts3","totalm2"
"SE110","2016","house",32942368,"nuts3","totalm2"
"SE110","2017","house",33246291,"nuts3","totalm2"
"SE110","2018","house",33503837,"nuts3","totalm2"
"SE110","2013","flat",45937822,"nuts3","totalm2"
"SE110","2014","flat",46557919,"nuts3","totalm2"
"SE110","2015","flat",47394604,"nuts3","totalm2"
"SE110","2016","flat",48271961,"nuts3","totalm2"
"SE110","2017","flat",48931091,"nuts3","totalm2"
"SE110","2018","flat",49719499,"nuts3","totalm2"
"SE110","2013","other",1058278,"nuts3","totalm2"
"SE110","2014","other",1068700,"nuts3","totalm2"
"SE110","2015","other",1094488,"nuts3","totalm2"
"SE110","2016","other",1147794,"nuts3","totalm2"
"SE110","2017","other",1186897,"nuts3","totalm2"
"SE110","2018","other",1211204,"nuts3","totalm2"
"SE121","2013","house",8586447,"nuts3","totalm2"
"SE211","2013","house",11198796,"nuts3","totalm2"
"SE121","2014","house",8640148,"nuts3","totalm2"
"SE211","2014","house",11242815,"nuts3","totalm2"
"SE121","2015","house",8755384,"nuts3","totalm2"
"SE211","2015","house",11308331,"nuts3","totalm2"
"SE121","2016","house",8818804,"nuts3","totalm2"
"SE211","2016","house",11349604,"nuts3","totalm2"
"SE121","2017","house",8880766,"nuts3","totalm2"
"SE211","2017","house",11437943,"nuts3","totalm2"
"SE121","2018","house",8925371,"nuts3","totalm2"
"SE211","2018","house",11514518,"nuts3","totalm2"
"SE121","2013","flat",5358595,"nuts3","totalm2"
"SE211","2013","flat",4652160,"nuts3","totalm2"
"SE121","2014","flat",5445498,"nuts3","totalm2"
"SE211","2014","flat",4705153,"nuts3","totalm2"
"SE121","2015","flat",5581048,"nuts3","totalm2"
"SE211","2015","flat",4763539,"nuts3","totalm2"
"SE121","2016","flat",5711827,"nuts3","totalm2"
"SE211","2016","flat",4818491,"nuts3","totalm2"
"SE121","2017","flat",5847138,"nuts3","totalm2"
"SE211","2017","flat",4902317,"nuts3","totalm2"
"SE121","2018","flat",6066257,"nuts3","totalm2"
"SE211","2018","flat",4951886,"nuts3","totalm2"
"SE121","2013","other",198320,"nuts3","totalm2"
"SE211","2013","other",241089,"nuts3","totalm2"
"SE121","2014","other",198029,"nuts3","totalm2"
"SE211","2014","other",248506,"nuts3","totalm2"
"SE121","2015","other",200204,"nuts3","totalm2"
"SE211","2015","other",247536,"nuts3","totalm2"
"SE121","2016","other",202996,"nuts3","totalm2"
"SE211","2016","other",253081,"nuts3","totalm2"
"SE121","2017","other",203951,"nuts3","totalm2"
"SE211","2017","other",253792,"nuts3","totalm2"
"SE121","2018","other",207585,"nuts3","totalm2"
"SE211","2018","other",253525,"nuts3","totalm2"
"SE122","2013","house",6996368,"nuts3","totalm2"
"SE122","2014","house",7006397,"nuts3","totalm2"
"SE122","2015","house",7024133,"nuts3","totalm2"
"SE122","2016","house",7025379,"nuts3","totalm2"
"SE122","2017","house",7061633,"nuts3","totalm2"
"SE122","2018","house",7086443,"nuts3","totalm2"
"SE122","2013","flat",4578886,"nuts3","totalm2"
"SE122","2014","flat",4615666,"nuts3","totalm2"
"SE122","2015","flat",4655732,"nuts3","totalm2"
"SE122","2016","flat",4692425,"nuts3","totalm2"
"SE122","2017","flat",4734061,"nuts3","totalm2"
"SE122","2018","flat",4809172,"nuts3","totalm2"
"SE122","2013","other",190356,"nuts3","totalm2"
"SE122","2014","other",188773,"nuts3","totalm2"
"SE122","2015","other",196022,"nuts3","totalm2"
"SE122","2016","other",194661,"nuts3","totalm2"
"SE122","2017","other",191528,"nuts3","totalm2"
"SE122","2018","other",202988,"nuts3","totalm2"
"SE123","2013","house",10770453,"nuts3","totalm2"
"SE123","2014","house",10882394,"nuts3","totalm2"
"SE123","2015","house",10977183,"nuts3","totalm2"
"SE123","2016","house",11044978,"nuts3","totalm2"
"SE123","2017","house",11155304,"nuts3","totalm2"
"SE123","2018","house",11220489,"nuts3","totalm2"
"SE123","2013","flat",7553300,"nuts3","totalm2"
"SE123","2014","flat",7598591,"nuts3","totalm2"
"SE123","2015","flat",7718110,"nuts3","totalm2"
"SE123","2016","flat",7818923,"nuts3","totalm2"
"SE123","2017","flat",7965653,"nuts3","totalm2"
"SE123","2018","flat",8105177,"nuts3","totalm2"
"SE123","2013","other",240050,"nuts3","totalm2"
"SE123","2014","other",240145,"nuts3","totalm2"
"SE123","2015","other",231254,"nuts3","totalm2"
"SE123","2016","other",177838,"nuts3","totalm2"
"SE123","2017","other",164879,"nuts3","totalm2"
"SE123","2018","other",172203,"nuts3","totalm2"
"SE212","2013","house",6406892,"nuts3","totalm2"
"SE212","2014","house",6445016,"nuts3","totalm2"
"SE212","2015","house",6477840,"nuts3","totalm2"
"SE212","2016","house",6510131,"nuts3","totalm2"
"SE212","2017","house",6570719,"nuts3","totalm2"
"SE212","2018","house",6601980,"nuts3","totalm2"
"SE212","2013","flat",2035409,"nuts3","totalm2"
"SE212","2014","flat",2099876,"nuts3","totalm2"
"SE212","2015","flat",2129104,"nuts3","totalm2"
"SE212","2016","flat",2162653,"nuts3","totalm2"
"SE212","2017","flat",2189364,"nuts3","totalm2"
"SE212","2018","flat",2250383,"nuts3","totalm2"
"SE212","2013","other",196157,"nuts3","totalm2"
"SE212","2014","other",165431,"nuts3","totalm2"
"SE212","2015","other",167283,"nuts3","totalm2"
"SE212","2016","other",170444,"nuts3","totalm2"
"SE212","2017","other",172778,"nuts3","totalm2"
"SE212","2018","other",186745,"nuts3","totalm2"
"SE213","2013","house",7941750,"nuts3","totalm2"
"SE213","2014","house",7957920,"nuts3","totalm2"
"SE213","2015","house",8003824,"nuts3","totalm2"
"SE213","2016","house",8015108,"nuts3","totalm2"
"SE213","2017","house",8039858,"nuts3","totalm2"
"SE213","2018","house",8061782,"nuts3","totalm2"
"SE213","2013","flat",2940343,"nuts3","totalm2"
"SE213","2014","flat",2971202,"nuts3","totalm2"
"SE213","2015","flat",2997557,"nuts3","totalm2"
"SE213","2016","flat",3028242,"nuts3","totalm2"
"SE213","2017","flat",3068557,"nuts3","totalm2"
"SE213","2018","flat",3125726,"nuts3","totalm2"
"SE213","2013","other",151809,"nuts3","totalm2"
"SE213","2014","other",147648,"nuts3","totalm2"
"SE213","2015","other",152308,"nuts3","totalm2"
"SE213","2016","other",153002,"nuts3","totalm2"
"SE213","2017","other",150188,"nuts3","totalm2"
"SE213","2018","other",152388,"nuts3","totalm2"
"SE214","2013","house",1861836,"nuts3","totalm2"
"SE214","2014","house",1861488,"nuts3","totalm2"
"SE214","2015","house",1859630,"nuts3","totalm2"
"SE214","2016","house",1852039,"nuts3","totalm2"
"SE214","2017","house",1857183,"nuts3","totalm2"
"SE214","2018","house",1862478,"nuts3","totalm2"
"SE214","2013","flat",587495,"nuts3","totalm2"
"SE214","2014","flat",611666,"nuts3","totalm2"
"SE214","2015","flat",615844,"nuts3","totalm2"
"SE214","2016","flat",624856,"nuts3","totalm2"
"SE214","2017","flat",634218,"nuts3","totalm2"
"SE214","2018","flat",641370,"nuts3","totalm2"
"SE214","2013","other",34268,"nuts3","totalm2"
"SE214","2014","other",35770,"nuts3","totalm2"
"SE214","2015","other",36985,"nuts3","totalm2"
"SE214","2016","other",37584,"nuts3","totalm2"
"SE214","2017","other",38440,"nuts3","totalm2"
"SE214","2018","other",45904,"nuts3","totalm2"
"SE221","2013","house",4946719,"nuts3","totalm2"
"SE221","2014","house",4952258,"nuts3","totalm2"
"SE221","2015","house",4976557,"nuts3","totalm2"
"SE221","2016","house",5001722,"nuts3","totalm2"
"SE221","2017","house",5026455,"nuts3","totalm2"
"SE221","2018","house",5041258,"nuts3","totalm2"
"SE221","2013","flat",1904947,"nuts3","totalm2"
"SE221","2014","flat",1927063,"nuts3","totalm2"
"SE221","2015","flat",1932922,"nuts3","totalm2"
"SE221","2016","flat",1938702,"nuts3","totalm2"
"SE221","2017","flat",1954202,"nuts3","totalm2"
"SE221","2018","flat",1974259,"nuts3","totalm2"
"SE221","2013","other",99865,"nuts3","totalm2"
"SE221","2014","other",92611,"nuts3","totalm2"
"SE221","2015","other",91873,"nuts3","totalm2"
"SE221","2016","other",96128,"nuts3","totalm2"
"SE221","2017","other",97006,"nuts3","totalm2"
"SE221","2018","other",97841,"nuts3","totalm2"
"SE224","2013","house",33291070,"nuts3","totalm2"
"SE224","2014","house",33429887,"nuts3","totalm2"
"SE224","2015","house",33639177,"nuts3","totalm2"
"SE224","2016","house",33761687,"nuts3","totalm2"
"SE224","2017","house",33994512,"nuts3","totalm2"
"SE224","2018","house",34137780,"nuts3","totalm2"
"SE224","2013","flat",20385812,"nuts3","totalm2"
"SE224","2014","flat",20602258,"nuts3","totalm2"
"SE224","2015","flat",20865231,"nuts3","totalm2"
"SE224","2016","flat",21122336,"nuts3","totalm2"
"SE224","2017","flat",21494930,"nuts3","totalm2"
"SE224","2018","flat",21895205,"nuts3","totalm2"
"SE224","2013","other",776922,"nuts3","totalm2"
"SE224","2014","other",718308,"nuts3","totalm2"
"SE224","2015","other",709575,"nuts3","totalm2"
"SE224","2016","other",711074,"nuts3","totalm2"
"SE224","2017","other",712309,"nuts3","totalm2"
"SE224","2018","other",722366,"nuts3","totalm2"
"SE231","2013","house",10267121,"nuts3","totalm2"
"SE231","2014","house",10336509,"nuts3","totalm2"
"SE231","2015","house",10435218,"nuts3","totalm2"
"SE231","2016","house",10507805,"nuts3","totalm2"
"SE231","2017","house",10617026,"nuts3","totalm2"
"SE231","2018","house",10815174,"nuts3","totalm2"
"SE231","2013","flat",3353714,"nuts3","totalm2"
"SE231","2014","flat",3402813,"nuts3","totalm2"
"SE231","2015","flat",3442478,"nuts3","totalm2"
"SE231","2016","flat",3526837,"nuts3","totalm2"
"SE231","2017","flat",3622044,"nuts3","totalm2"
"SE231","2018","flat",3576996,"nuts3","totalm2"
"SE231","2013","other",149702,"nuts3","totalm2"
"SE231","2014","other",148621,"nuts3","totalm2"
"SE231","2015","other",142789,"nuts3","totalm2"
"SE231","2016","other",139265,"nuts3","totalm2"
"SE231","2017","other",141854,"nuts3","totalm2"
"SE231","2018","other",143206,"nuts3","totalm2"
"SE232","2013","house",40241567,"nuts3","totalm2"
"SE232","2014","house",40399304,"nuts3","totalm2"
"SE232","2015","house",40660360,"nuts3","totalm2"
"SE232","2016","house",40806651,"nuts3","totalm2"
"SE232","2017","house",41189218,"nuts3","totalm2"
"SE232","2018","house",41392335,"nuts3","totalm2"
"SE232","2013","flat",25678165,"nuts3","totalm2"
"SE232","2014","flat",25920784,"nuts3","totalm2"
"SE232","2015","flat",26260714,"nuts3","totalm2"
"SE232","2016","flat",26536084,"nuts3","totalm2"
"SE232","2017","flat",26895981,"nuts3","totalm2"
"SE232","2018","flat",27295011,"nuts3","totalm2"
"SE232","2013","other",850459,"nuts3","totalm2"
"SE232","2014","other",852507,"nuts3","totalm2"
"SE232","2015","other",861616,"nuts3","totalm2"
"SE232","2016","other",871103,"nuts3","totalm2"
"SE232","2017","other",879888,"nuts3","totalm2"
"SE232","2018","other",893724,"nuts3","totalm2"
"SE311","2013","house",8724100,"nuts3","totalm2"
"SE311","2014","house",8739789,"nuts3","totalm2"
"SE311","2015","house",8767710,"nuts3","totalm2"
"SE311","2016","house",8768033,"nuts3","totalm2"
"SE311","2017","house",8788263,"nuts3","totalm2"
"SE311","2018","house",8813976,"nuts3","totalm2"
"SE311","2013","flat",3763689,"nuts3","totalm2"
"SE311","2014","flat",3771348,"nuts3","totalm2"
"SE311","2015","flat",3805896,"nuts3","totalm2"
"SE311","2016","flat",3832931,"nuts3","totalm2"
"SE311","2017","flat",3857913,"nuts3","totalm2"
"SE311","2018","flat",3951628,"nuts3","totalm2"
"SE311","2013","other",203316,"nuts3","totalm2"
"SE311","2014","other",209116,"nuts3","totalm2"
"SE311","2015","other",205283,"nuts3","totalm2"
"SE311","2016","other",204075,"nuts3","totalm2"
"SE311","2017","other",208056,"nuts3","totalm2"
"SE311","2018","other",205590,"nuts3","totalm2"
"SE124","2013","house",7671622,"nuts3","totalm2"
"SE124","2014","house",7683106,"nuts3","totalm2"
"SE124","2015","house",7734419,"nuts3","totalm2"
"SE124","2016","house",7730132,"nuts3","totalm2"
"SE124","2017","house",7795764,"nuts3","totalm2"
"SE124","2018","house",7839448,"nuts3","totalm2"
"SE124","2013","flat",4449153,"nuts3","totalm2"
"SE124","2014","flat",4479019,"nuts3","totalm2"
"SE124","2015","flat",4524819,"nuts3","totalm2"
"SE124","2016","flat",4602502,"nuts3","totalm2"
"SE124","2017","flat",4693378,"nuts3","totalm2"
"SE124","2018","flat",4794901,"nuts3","totalm2"
"SE124","2013","other",218854,"nuts3","totalm2"
"SE124","2014","other",213818,"nuts3","totalm2"
"SE124","2015","other",220203,"nuts3","totalm2"
"SE124","2016","other",226448,"nuts3","totalm2"
"SE124","2017","other",225866,"nuts3","totalm2"
"SE124","2018","other",229139,"nuts3","totalm2"
"SE125","2013","house",6431992,"nuts3","totalm2"
"SE125","2014","house",6454760,"nuts3","totalm2"
"SE125","2015","house",6492501,"nuts3","totalm2"
"SE125","2016","house",6527229,"nuts3","totalm2"
"SE125","2017","house",6574232,"nuts3","totalm2"
"SE125","2018","house",6630802,"nuts3","totalm2"
"SE125","2013","flat",4509974,"nuts3","totalm2"
"SE125","2014","flat",4532635,"nuts3","totalm2"
"SE125","2015","flat",4583452,"nuts3","totalm2"
"SE125","2016","flat",4663691,"nuts3","totalm2"
"SE125","2017","flat",4709613,"nuts3","totalm2"
"SE125","2018","flat",4816564,"nuts3","totalm2"
"SE125","2013","other",183448,"nuts3","totalm2"
"SE125","2014","other",185737,"nuts3","totalm2"
"SE125","2015","other",192776,"nuts3","totalm2"
"SE125","2016","other",191427,"nuts3","totalm2"
"SE125","2017","other",190959,"nuts3","totalm2"
"SE125","2018","other",160783,"nuts3","totalm2"
"SE312","2013","house",9152597,"nuts3","totalm2"
"SE312","2014","house",9154671,"nuts3","totalm2"
"SE312","2015","house",9183121,"nuts3","totalm2"
"SE312","2016","house",9162811,"nuts3","totalm2"
"SE312","2017","house",9186116,"nuts3","totalm2"
"SE312","2018","house",9207345,"nuts3","totalm2"
"SE312","2013","flat",3284602,"nuts3","totalm2"
"SE312","2014","flat",3301705,"nuts3","totalm2"
"SE312","2015","flat",3317910,"nuts3","totalm2"
"SE312","2016","flat",3340229,"nuts3","totalm2"
"SE312","2017","flat",3372500,"nuts3","totalm2"
"SE312","2018","flat",3418675,"nuts3","totalm2"
"SE312","2013","other",227121,"nuts3","totalm2"
"SE312","2014","other",230139,"nuts3","totalm2"
"SE312","2015","other",231493,"nuts3","totalm2"
"SE312","2016","other",233954,"nuts3","totalm2"
"SE312","2017","other",226870,"nuts3","totalm2"
"SE312","2018","other",226374,"nuts3","totalm2"
"SE313","2013","house",8376752,"nuts3","totalm2"
"SE313","2014","house",8396615,"nuts3","totalm2"
"SE313","2015","house",8409864,"nuts3","totalm2"
"SE313","2016","house",8401507,"nuts3","totalm2"
"SE313","2017","house",8432605,"nuts3","totalm2"
"SE313","2018","house",8440851,"nuts3","totalm2"
"SE313","2013","flat",3909313,"nuts3","totalm2"
"SE313","2014","flat",3923481,"nuts3","totalm2"
"SE313","2015","flat",3929417,"nuts3","totalm2"
"SE313","2016","flat",3930367,"nuts3","totalm2"
"SE313","2017","flat",3967715,"nuts3","totalm2"
"SE313","2018","flat",4018116,"nuts3","totalm2"
"SE313","2013","other",164798,"nuts3","totalm2"
"SE313","2014","other",166437,"nuts3","totalm2"
"SE313","2015","other",168994,"nuts3","totalm2"
"SE313","2016","other",165134,"nuts3","totalm2"
"SE313","2017","other",164413,"nuts3","totalm2"
"SE313","2018","other",164972,"nuts3","totalm2"
"SE321","2013","house",7400863,"nuts3","totalm2"
"SE321","2014","house",7413459,"nuts3","totalm2"
"SE321","2015","house",7399631,"nuts3","totalm2"
"SE321","2016","house",7407316,"nuts3","totalm2"
"SE321","2017","house",7418522,"nuts3","totalm2"
"SE321","2018","house",7410567,"nuts3","totalm2"
"SE321","2013","flat",3538605,"nuts3","totalm2"
"SE321","2014","flat",3543916,"nuts3","totalm2"
"SE321","2015","flat",3544272,"nuts3","totalm2"
"SE321","2016","flat",3613062,"nuts3","totalm2"
"SE321","2017","flat",3642798,"nuts3","totalm2"
"SE321","2018","flat",3672005,"nuts3","totalm2"
"SE321","2013","other",166180,"nuts3","totalm2"
"SE321","2014","other",168725,"nuts3","totalm2"
"SE321","2015","other",173227,"nuts3","totalm2"
"SE321","2016","other",135406,"nuts3","totalm2"
"SE321","2017","other",139575,"nuts3","totalm2"
"SE321","2018","other",140955,"nuts3","totalm2"
"SE322","2013","house",4016919,"nuts3","totalm2"
"SE322","2014","house",4022548,"nuts3","totalm2"
"SE322","2015","house",4037678,"nuts3","totalm2"
"SE322","2016","house",4051950,"nuts3","totalm2"
"SE322","2017","house",4091855,"nuts3","totalm2"
"SE322","2018","house",4118594,"nuts3","totalm2"
"SE322","2013","flat",1778864,"nuts3","totalm2"
"SE322","2014","flat",1788971,"nuts3","totalm2"
"SE322","2015","flat",1798018,"nuts3","totalm2"
"SE322","2016","flat",1815184,"nuts3","totalm2"
"SE322","2017","flat",1842149,"nuts3","totalm2"
"SE322","2018","flat",1869526,"nuts3","totalm2"
"SE322","2013","other",101423,"nuts3","totalm2"
"SE322","2014","other",100946,"nuts3","totalm2"
"SE322","2015","other",98634,"nuts3","totalm2"
"SE322","2016","other",99091,"nuts3","totalm2"
"SE322","2017","other",100204,"nuts3","totalm2"
"SE322","2018","other",102160,"nuts3","totalm2"
"SE331","2013","house",7460102,"nuts3","totalm2"
"SE331","2014","house",7460552,"nuts3","totalm2"
"SE331","2015","house",7460351,"nuts3","totalm2"
"SE331","2016","house",7473204,"nuts3","totalm2"
"SE331","2017","house",7527185,"nuts3","totalm2"
"SE331","2018","house",7546881,"nuts3","totalm2"
"SE331","2013","flat",3768218,"nuts3","totalm2"
"SE331","2014","flat",3821259,"nuts3","totalm2"
"SE331","2015","flat",3902048,"nuts3","totalm2"
"SE331","2016","flat",3958478,"nuts3","totalm2"
"SE331","2017","flat",4034849,"nuts3","totalm2"
"SE331","2018","flat",4071061,"nuts3","totalm2"
"SE331","2013","other",187132,"nuts3","totalm2"
"SE331","2014","other",171521,"nuts3","totalm2"
"SE331","2015","other",174292,"nuts3","totalm2"
"SE331","2016","other",180443,"nuts3","totalm2"
"SE331","2017","other",173715,"nuts3","totalm2"
"SE331","2018","other",171784,"nuts3","totalm2"
"SE332","2013","house",7343326,"nuts3","totalm2"
"SE332","2014","house",7353720,"nuts3","totalm2"
"SE332","2015","house",7350767,"nuts3","totalm2"
"SE332","2016","house",7333396,"nuts3","totalm2"
"SE332","2017","house",7358537,"nuts3","totalm2"
"SE332","2018","house",7355327,"nuts3","totalm2"
"SE332","2013","flat",3480131,"nuts3","totalm2"
"SE332","2014","flat",3520266,"nuts3","totalm2"
"SE332","2015","flat",3549073,"nuts3","totalm2"
"SE332","2016","flat",3555608,"nuts3","totalm2"
"SE332","2017","flat",3585304,"nuts3","totalm2"
"SE332","2018","flat",3668178,"nuts3","totalm2"
"SE332","2013","other",177921,"nuts3","totalm2"
"SE332","2014","other",180991,"nuts3","totalm2"
"SE332","2015","other",185238,"nuts3","totalm2"
"SE332","2016","other",188262,"nuts3","totalm2"
"SE332","2017","other",184551,"nuts3","totalm2"
"SE332","2018","other",156432,"nuts3","totalm2"
"SE110","2019","house",33646121,"nuts3","totalm2"
"SE110","2020","house",33948420,"nuts3","totalm2"
"SE110","2021","house",34178547,"nuts3","totalm2"
"SE110","2022","house",34434568,"nuts3","totalm2"
"SE110","2019","flat",50494255,"nuts3","totalm2"
"SE110","2020","flat",51058315,"nuts3","totalm2"
"SE110","2021","flat",51657861,"nuts3","totalm2"
"SE110","2022","flat",52365720,"nuts3","totalm2"
"SE110","2019","other",1257665,"nuts3","totalm2"
"SE110","2020","other",1260341,"nuts3","totalm2"
"SE110","2021","other",1269049,"nuts3","totalm2"
"SE110","2022","other",1221616,"nuts3","totalm2"
"SE121","2019","house",8966224,"nuts3","totalm2"
"SE211","2019","house",11568947,"nuts3","totalm2"
"SE121","2020","house",9016974,"nuts3","totalm2"
"SE211","2020","house",11638496,"nuts3","totalm2"
"SE121","2021","house",9169475,"nuts3","totalm2"
"SE211","2021","house",11676176,"nuts3","totalm2"
"SE121","2022","house",9265980,"nuts3","totalm2"
"SE211","2022","house",11700306,"nuts3","totalm2"
"SE121","2019","flat",6220010,"nuts3","totalm2"
"SE211","2019","flat",5051756,"nuts3","totalm2"
"SE121","2020","flat",6304158,"nuts3","totalm2"
"SE211","2020","flat",5143415,"nuts3","totalm2"
"SE121","2021","flat",6459928,"nuts3","totalm2"
"SE211","2021","flat",5229186,"nuts3","totalm2"
"SE121","2022","flat",6609755,"nuts3","totalm2"
"SE211","2022","flat",5317392,"nuts3","totalm2"
"SE121","2019","other",202267,"nuts3","totalm2"
"SE211","2019","other",253681,"nuts3","totalm2"
"SE121","2020","other",206755,"nuts3","totalm2"
"SE211","2020","other",227878,"nuts3","totalm2"
"SE121","2021","other",213213,"nuts3","totalm2"
"SE211","2021","other",222079,"nuts3","totalm2"
"SE121","2022","other",188652,"nuts3","totalm2"
"SE211","2022","other",217255,"nuts3","totalm2"
"SE122","2019","house",7096449,"nuts3","totalm2"
"SE122","2020","house",7121650,"nuts3","totalm2"
"SE122","2021","house",7165538,"nuts3","totalm2"
"SE122","2022","house",7197292,"nuts3","totalm2"
"SE122","2019","flat",4874161,"nuts3","totalm2"
"SE122","2020","flat",4953931,"nuts3","totalm2"
"SE122","2021","flat",5045554,"nuts3","totalm2"
"SE122","2022","flat",5155683,"nuts3","totalm2"
"SE122","2019","other",205724,"nuts3","totalm2"
"SE122","2020","other",206191,"nuts3","totalm2"
"SE122","2021","other",201920,"nuts3","totalm2"
"SE122","2022","other",202105,"nuts3","totalm2"
"SE123","2019","house",11285622,"nuts3","totalm2"
"SE123","2020","house",11358343,"nuts3","totalm2"
"SE123","2021","house",11413607,"nuts3","totalm2"
"SE123","2022","house",11472202,"nuts3","totalm2"
"SE123","2019","flat",8210970,"nuts3","totalm2"
"SE123","2020","flat",8294076,"nuts3","totalm2"
"SE123","2021","flat",8423919,"nuts3","totalm2"
"SE123","2022","flat",8508051,"nuts3","totalm2"
"SE123","2019","other",172362,"nuts3","totalm2"
"SE123","2020","other",176872,"nuts3","totalm2"
"SE123","2021","other",175913,"nuts3","totalm2"
"SE123","2022","other",179481,"nuts3","totalm2"
"SE212","2019","house",6632483,"nuts3","totalm2"
"SE212","2020","house",6658856,"nuts3","totalm2"
"SE212","2021","house",6685651,"nuts3","totalm2"
"SE212","2022","house",6715104,"nuts3","totalm2"
"SE212","2019","flat",2313138,"nuts3","totalm2"
"SE212","2020","flat",2379847,"nuts3","totalm2"
"SE212","2021","flat",2429350,"nuts3","totalm2"
"SE212","2022","flat",2537042,"nuts3","totalm2"
"SE212","2019","other",188710,"nuts3","totalm2"
"SE212","2020","other",189004,"nuts3","totalm2"
"SE212","2021","other",189518,"nuts3","totalm2"
"SE212","2022","other",130737,"nuts3","totalm2"
"SE213","2019","house",8060840,"nuts3","totalm2"
"SE213","2020","house",8094659,"nuts3","totalm2"
"SE213","2021","house",8128149,"nuts3","totalm2"
"SE213","2022","house",8135319,"nuts3","totalm2"
"SE213","2019","flat",3153715,"nuts3","totalm2"
"SE213","2020","flat",3208229,"nuts3","totalm2"
"SE213","2021","flat",3240581,"nuts3","totalm2"
"SE213","2022","flat",3303303,"nuts3","totalm2"
"SE213","2019","other",155837,"nuts3","totalm2"
"SE213","2020","other",161780,"nuts3","totalm2"
"SE213","2021","other",156818,"nuts3","totalm2"
"SE213","2022","other",158596,"nuts3","totalm2"
"SE214","2019","house",1858976,"nuts3","totalm2"
"SE214","2020","house",1883098,"nuts3","totalm2"
"SE214","2021","house",1894900,"nuts3","totalm2"
"SE214","2022","house",1910140,"nuts3","totalm2"
"SE214","2019","flat",646998,"nuts3","totalm2"
"SE214","2020","flat",654197,"nuts3","totalm2"
"SE214","2021","flat",660384,"nuts3","totalm2"
"SE214","2022","flat",674386,"nuts3","totalm2"
"SE214","2019","other",46266,"nuts3","totalm2"
"SE214","2020","other",46856,"nuts3","totalm2"
"SE214","2021","other",46918,"nuts3","totalm2"
"SE214","2022","other",46550,"nuts3","totalm2"
"SE221","2019","house",5052436,"nuts3","totalm2"
"SE221","2020","house",5079822,"nuts3","totalm2"
"SE221","2021","house",5096208,"nuts3","totalm2"
"SE221","2022","house",5109399,"nuts3","totalm2"
"SE221","2019","flat",1979064,"nuts3","totalm2"
"SE221","2020","flat",2000012,"nuts3","totalm2"
"SE221","2021","flat",2020298,"nuts3","totalm2"
"SE221","2022","flat",2038991,"nuts3","totalm2"
"SE221","2019","other",99512,"nuts3","totalm2"
"SE221","2020","other",102229,"nuts3","totalm2"
"SE221","2021","other",107234,"nuts3","totalm2"
"SE221","2022","other",106207,"nuts3","totalm2"
"SE224","2019","house",34284891,"nuts3","totalm2"
"SE224","2020","house",34564773,"nuts3","totalm2"
"SE224","2021","house",34683315,"nuts3","totalm2"
"SE224","2022","house",34923018,"nuts3","totalm2"
"SE224","2019","flat",22241180,"nuts3","totalm2"
"SE224","2020","flat",22682554,"nuts3","totalm2"
"SE224","2021","flat",23085548,"nuts3","totalm2"
"SE224","2022","flat",23485038,"nuts3","totalm2"
"SE224","2019","other",715110,"nuts3","totalm2"
"SE224","2020","other",670966,"nuts3","totalm2"
"SE224","2021","other",695981,"nuts3","totalm2"
"SE224","2022","other",695026,"nuts3","totalm2"
"SE231","2019","house",10901461,"nuts3","totalm2"
"SE231","2020","house",11000572,"nuts3","totalm2"
"SE231","2021","house",11094760,"nuts3","totalm2"
"SE231","2022","house",11174936,"nuts3","totalm2"
"SE231","2019","flat",3648693,"nuts3","totalm2"
"SE231","2020","flat",3733860,"nuts3","totalm2"
"SE231","2021","flat",3825079,"nuts3","totalm2"
"SE231","2022","flat",3896043,"nuts3","totalm2"
"SE231","2019","other",142778,"nuts3","totalm2"
"SE231","2020","other",144967,"nuts3","totalm2"
"SE231","2021","other",143935,"nuts3","totalm2"
"SE231","2022","other",147324,"nuts3","totalm2"
"SE232","2019","house",41508640,"nuts3","totalm2"
"SE232","2020","house",41814971,"nuts3","totalm2"
"SE232","2021","house",42011926,"nuts3","totalm2"
"SE232","2022","house",42178550,"nuts3","totalm2"
"SE232","2019","flat",27665684,"nuts3","totalm2"
"SE232","2020","flat",28002330,"nuts3","totalm2"
"SE232","2021","flat",28460786,"nuts3","totalm2"
"SE232","2022","flat",28989455,"nuts3","totalm2"
"SE232","2019","other",902182,"nuts3","totalm2"
"SE232","2020","other",903346,"nuts3","totalm2"
"SE232","2021","other",923664,"nuts3","totalm2"
"SE232","2022","other",932287,"nuts3","totalm2"
"SE311","2019","house",8825635,"nuts3","totalm2"
"SE311","2020","house",8869411,"nuts3","totalm2"
"SE311","2021","house",8890443,"nuts3","totalm2"
"SE311","2022","house",8904275,"nuts3","totalm2"
"SE311","2019","flat",4032807,"nuts3","totalm2"
"SE311","2020","flat",4071166,"nuts3","totalm2"
"SE311","2021","flat",4099061,"nuts3","totalm2"
"SE311","2022","flat",4150647,"nuts3","totalm2"
"SE311","2019","other",150788,"nuts3","totalm2"
"SE311","2020","other",148379,"nuts3","totalm2"
"SE311","2021","other",149329,"nuts3","totalm2"
"SE311","2022","other",151221,"nuts3","totalm2"
"SE124","2019","house",7875238,"nuts3","totalm2"
"SE124","2020","house",7936143,"nuts3","totalm2"
"SE124","2021","house",7973137,"nuts3","totalm2"
